amount,is_international,velocity_5min,is_new_merchant,account_age_days,failed_login_attempts,fraud,is_night,is_weekend
2668,0,8,0,1990,3,0,0,0
2127,0,4,1,1133,4,0,0,0
2795,1,4,1,178,0,0,0,0
15522,0,8,0,250,0,1,1,0
5358,1,1,1,765,0,0,0,0
6836,1,9,1,1591,3,1,0,0
491,1,7,0,667,2,1,1,0
14086,0,2,1,903,0,0,0,0
12766,0,6,1,91,4,1,0,1
5992,0,8,0,339,4,0,0,0
3661,1,5,0,1662,1,0,0,0
6284,0,6,0,1873,2,0,0,0
19583,0,8,1,169,2,1,0,0
8492,1,6,1,1163,3,1,0,0
13167,1,9,1,1541,1,1,0,0
15365,1,9,0,578,3,1,0,1
19588,1,9,1,1647,1,1,0,1
2554,1,6,1,1208,2,1,0,0
11937,1,9,1,780,3,1,0,0
14139,0,3,0,170,1,0,0,0
19215,1,5,0,362,2,1,0,0
11065,0,2,0,244,2,0,0,0
9862,0,8,1,1867,0,1,1,0
5156,0,4,1,138,3,0,0,0
15048,1,6,0,1052,0,1,1,1
8210,0,6,0,519,2,0,0,0
13873,1,5,1,1422,3,1,1,0
17512,1,1,0,333,3,1,0,0
602,0,7,1,965,4,1,0,1
7010,1,8,0,1341,1,1,0,0
12785,0,1,0,563,4,1,1,0
306,0,7,0,426,4,1,0,1
17968,1,4,1,1160,2,1,0,0
16034,0,6,0,1714,1,1,0,0
17347,0,9,1,641,4,1,1,0
19274,0,5,0,709,4,1,1,0
8855,1,8,0,1291,3,1,0,0
12483,0,5,1,107,2,1,0,1
18241,1,2,1,560,4,1,0,1
14920,1,4,0,138,1,1,0,0
7674,0,2,1,1935,0,0,0,0
6474,0,7,0,615,0,0,0,0
1778,1,7,1,47,2,1,0,0
19726,1,3,1,1689,0,1,1,1
1159,0,7,0,368,3,1,1,1
16298,0,1,0,6,3,1,1,1
10014,1,1,1,523,1,1,0,0
19641,1,9,1,529,2,1,0,1
10917,1,6,0,1679,2,1,0,0
11021,1,5,1,1296,0,1,0,1
9889,1,6,1,1848,4,1,1,1
16412,0,6,1,66,4,1,0,0
11352,1,1,1,420,4,1,1,0
2793,1,5,0,1363,1,0,0,0
14031,0,9,0,934,2,1,0,1
3727,0,4,1,498,0,0,1,0
16257,1,3,1,1493,1,1,0,1
10273,1,1,0,331,3,1,0,0
18147,0,2,1,768,3,1,1,0
10330,1,3,1,1001,3,1,0,0
15807,1,4,1,1663,2,1,0,0
11594,0,7,1,1155,3,1,0,0
1406,1,6,1,530,4,1,0,1
6876,0,8,0,1743,3,1,0,1
9574,0,9,1,1625,1,1,1,1
7626,0,6,1,1462,3,1,1,1
5630,0,7,1,243,4,1,0,1
3848,1,4,0,1487,3,1,0,1
13645,0,2,1,350,0,1,0,1
763,1,9,1,1041,4,1,0,1
2098,1,9,0,1490,2,1,0,0
8094,1,4,0,735,3,0,0,0
17979,1,3,0,882,1,1,0,0
3404,1,6,0,363,3,1,0,0
18337,0,3,1,1234,1,1,0,1
13908,0,1,1,1015,0,0,0,0
6685,0,4,1,1635,2,0,0,1
17775,0,1,0,525,4,1,1,0
11749,1,2,1,831,4,1,0,0
1736,0,3,0,782,2,0,0,0
17182,1,8,0,1723,0,1,1,0
4837,1,4,1,420,0,0,0,0
14655,0,4,0,786,3,1,0,1
13977,0,9,0,133,0,1,1,0
954,0,7,1,14,3,1,1,0
5955,0,2,1,1817,1,0,0,1
7492,1,3,0,1068,2,0,0,0
14049,1,4,1,1401,1,1,1,1
18191,0,4,1,295,1,1,1,0
5891,1,8,0,1420,1,1,0,0
5031,1,6,0,1128,1,1,0,0
19994,1,3,1,445,4,1,0,0
302,0,9,1,1086,0,1,1,0
11547,1,8,0,1589,2,1,0,0
12788,0,9,1,1845,2,1,0,0
4489,0,5,0,412,1,0,1,1
2427,1,3,0,1955,2,0,0,0
8104,1,4,1,630,3,1,0,0
19415,0,5,1,321,2,1,0,1
7877,1,9,1,1155,1,1,0,0
297,1,9,1,1835,2,1,0,1
2030,0,3,1,818,0,0,0,1
11874,0,7,0,1223,1,1,0,0
15187,0,6,1,905,4,1,0,1
9439,0,4,0,36,0,0,1,1
11689,1,5,1,791,2,1,0,0
18995,1,2,0,1240,4,1,0,1
15808,0,7,1,586,0,1,0,0
17143,0,4,1,306,3,1,0,0
2911,0,2,0,1591,0,0,0,0
14343,1,6,1,1008,4,1,1,0
6646,0,2,1,893,3,0,0,0
2086,1,2,0,12,2,0,0,1
8438,0,7,0,83,1,0,1,0
11511,0,1,0,1056,2,0,0,0
3011,0,7,1,1432,1,1,1,0
1834,1,5,0,1110,1,0,0,1
18327,1,1,0,1987,4,1,0,1
8780,1,6,1,1768,3,1,0,1
19460,0,7,1,1435,3,1,0,0
18443,1,1,1,957,0,1,1,0
5859,1,9,1,1811,2,1,0,1
2485,0,7,1,713,4,1,0,0
11211,0,1,1,1587,2,1,1,1
4836,1,3,0,1856,0,0,1,0
1902,1,5,0,1280,0,0,0,0
8255,1,4,1,241,4,1,0,1
8220,1,2,0,1741,0,0,0,0
6716,0,1,0,898,4,0,0,0
14357,0,4,0,1956,0,0,1,0
14586,0,7,0,896,3,1,0,0
16746,1,4,1,907,4,1,1,0
14175,1,9,1,1732,3,1,1,0
9308,0,8,0,1476,3,1,0,1
16471,0,8,1,756,4,1,0,1
11935,1,5,0,1856,2,1,0,0
13268,1,1,0,1025,1,1,0,1
2149,0,9,1,601,0,1,0,1
5523,0,2,0,282,0,0,0,0
14689,0,6,1,651,2,1,0,1
19592,1,5,1,599,1,1,0,0
7258,1,8,1,1538,2,1,0,1
10348,1,3,1,979,1,1,1,1
7500,1,6,1,1885,4,1,0,0
19654,1,6,1,1704,4,1,0,0
9974,1,3,1,1143,3,1,0,1
15251,0,7,1,1012,3,1,0,0
18739,0,4,1,900,4,1,1,0
1254,1,5,0,1529,3,1,0,1
4599,0,9,1,1104,4,1,0,0
6395,1,6,0,1647,2,1,0,0
12283,0,4,1,1701,0,0,0,0
12974,1,8,0,894,4,1,0,0
18132,0,9,1,957,4,1,0,0
5639,0,5,1,219,4,0,0,0
9737,1,2,1,1541,3,1,0,1
15686,1,6,0,1935,3,1,1,0
2657,0,8,0,727,3,1,0,1
5692,0,5,1,1009,3,0,0,1
16582,1,1,0,1731,2,1,0,1
2300,0,8,1,1490,4,1,0,0
14272,1,9,0,1818,2,1,0,0
3061,1,1,0,518,3,1,0,1
14307,0,8,0,1915,2,1,1,1
12069,1,2,1,812,4,1,1,0
2969,0,4,0,502,4,0,1,0
17440,0,2,0,58,3,1,1,0
14092,1,2,1,1361,4,1,1,0
5799,0,3,1,1534,2,0,0,0
4087,1,8,0,814,1,1,1,1
13546,1,4,0,614,4,1,0,0
1318,1,7,1,426,2,1,0,0
4835,0,3,1,1584,2,0,0,0
11396,1,3,1,1394,2,1,0,0
4655,0,2,1,1435,4,0,0,0
9246,1,6,1,1812,1,1,1,0
8150,1,6,0,1990,3,1,0,0
12857,1,1,1,883,3,1,0,0
19930,0,7,1,1699,4,1,0,1
17529,0,4,0,1868,4,1,0,1
6993,1,3,1,432,0,0,0,0
18177,1,8,1,1987,1,1,1,1
14473,0,2,1,1220,2,1,1,0
14665,0,9,0,1401,2,1,0,0
3536,0,8,1,948,3,1,0,0
8854,1,8,1,1389,4,1,0,0
10777,0,3,1,1860,1,1,1,1
5995,1,4,1,1668,3,1,0,0
19838,0,2,0,935,1,0,0,0
16709,1,2,0,405,4,1,0,0
15736,1,4,1,492,2,1,0,0
7122,1,6,1,66,0,1,0,0
9251,0,5,1,912,1,0,0,0
5700,0,1,1,391,2,0,0,0
8096,0,1,1,83,1,0,0,1
9107,1,6,1,1003,1,1,0,0
13046,1,3,1,481,1,1,0,0
4742,0,3,0,777,4,0,0,0
11412,1,7,1,1253,3,1,1,1
7779,1,1,0,785,1,0,0,0
8308,1,1,0,1755,4,1,0,1
18689,0,3,1,1249,0,0,0,0
10816,1,8,0,1137,3,1,0,0
17553,0,1,0,652,4,1,0,1
3544,0,4,0,1209,0,0,0,0
10857,0,9,1,1536,3,1,0,0
14534,0,4,0,1197,4,1,0,1
1160,0,8,0,1912,0,0,0,0
18811,1,7,1,523,4,1,0,0
3520,0,3,1,1933,0,0,0,0
401,0,7,0,1695,1,0,0,0
12568,0,7,1,205,1,1,0,0
17090,1,3,1,742,3,1,1,0
19654,1,2,0,1562,0,1,0,1
799,1,9,0,319,1,1,0,1
290,1,1,0,1183,3,1,0,1
10592,0,7,1,278,2,1,0,0
17464,0,4,0,902,1,0,0,0
3075,1,2,0,148,1,1,1,1
6202,1,2,1,778,4,1,0,0
17668,1,8,1,1107,2,1,0,1
19811,1,7,1,419,0,1,1,0
19878,0,7,1,538,3,1,0,0
1916,1,5,0,1607,2,0,0,1
669,1,8,0,1573,0,1,0,0
5542,1,2,0,392,1,0,0,0
1995,1,2,1,1157,3,1,0,1
19217,1,5,0,940,3,1,0,0
3963,1,1,1,1662,2,0,0,0
13013,1,6,1,1651,4,1,0,0
7555,0,4,1,1628,0,0,0,1
4114,0,6,0,242,2,0,0,1
11193,0,7,1,1475,4,1,0,1
18170,0,3,0,999,4,0,0,0
3109,0,8,0,1224,4,0,0,0
16638,0,7,0,1743,3,1,0,0
10829,1,1,1,1141,0,1,0,1
1509,1,6,0,1243,0,1,0,0
12349,0,7,0,1329,2,1,0,1
884,1,4,1,243,1,0,0,0
8196,0,2,0,1316,2,0,1,0
7660,1,9,1,976,0,1,0,0
12633,1,7,0,1818,3,1,0,0
7443,1,1,1,1325,2,0,0,0
7306,1,8,1,1853,1,1,1,0
5901,1,3,1,684,2,1,1,0
19290,1,4,1,1412,4,1,0,0
17021,0,5,1,588,1,0,0,0
6086,0,1,0,1233,4,0,0,0
18325,1,6,0,1338,3,1,1,0
10747,0,6,0,617,0,1,0,0
8816,1,2,0,26,2,0,0,0
19434,0,6,1,863,2,1,0,0
12423,1,8,1,79,4,1,0,0
4880,0,6,0,1012,4,1,1,0
2468,1,4,1,128,0,0,0,0
12139,0,4,0,413,2,0,0,1
6755,1,9,1,137,0,1,0,0
8273,0,6,1,1358,4,1,1,0
4595,1,8,0,548,4,1,0,0
10993,1,8,0,388,1,1,0,0
13503,1,7,1,571,4,1,0,0
13221,0,3,0,1254,4,1,1,0
11066,0,1,0,1016,0,0,0,0
953,0,5,0,421,1,0,1,0
17058,1,2,0,1148,1,1,0,0
17632,0,2,1,1112,2,0,0,0
10007,1,7,1,1873,3,1,0,0
4877,0,3,1,141,2,0,1,0
15438,0,8,1,1940,2,1,1,1
2591,0,9,0,1809,2,0,0,1
15428,0,8,0,51,1,1,0,0
14699,1,6,0,987,0,1,0,0
19608,0,5,1,1591,4,1,0,0
3151,0,3,1,929,1,0,0,1
16079,1,3,1,1429,4,1,0,0
16488,1,7,1,1361,4,1,0,1
976,0,5,0,662,3,0,0,1
4242,0,6,0,1689,2,0,0,1
15302,1,6,0,1987,3,1,1,0
7066,1,9,1,1755,2,1,1,1
7179,1,1,1,1755,1,0,0,0
8087,0,8,1,366,4,1,0,1
6899,0,5,1,908,3,1,1,1
4565,0,6,1,1935,1,0,0,0
17119,1,6,1,998,1,1,0,1
13517,1,1,0,854,2,1,0,0
18177,1,3,1,258,4,1,0,0
8411,0,6,1,1412,2,1,1,0
17314,1,9,1,45,2,1,0,0
14198,0,6,0,269,1,1,0,0
5277,1,6,0,1335,2,1,0,0
14362,0,1,1,672,0,1,0,1
8408,0,9,0,1019,4,1,0,1
6049,1,4,0,1302,2,0,0,0
19322,0,2,0,857,2,0,0,0
1250,1,1,1,1499,3,1,0,0
2031,0,3,0,1591,4,0,1,0
9304,1,3,0,145,4,1,1,0
18148,1,5,0,1990,2,1,0,1
1181,0,1,1,235,0,0,0,0
16996,1,7,0,691,3,1,0,0
13507,0,1,1,720,0,1,1,0
7905,1,4,0,1160,2,0,0,0
5337,1,6,1,1469,4,1,0,0
17043,1,1,1,353,4,1,0,0
12875,1,7,1,1418,0,1,0,0
16344,0,7,1,994,1,1,0,0
13284,1,3,1,275,2,1,0,0
3443,1,4,0,1408,4,1,1,0
13600,0,6,0,910,1,1,0,0
9762,0,7,0,1347,4,0,0,0
17064,0,4,1,1207,4,1,1,0
15225,0,9,1,1597,1,1,0,0
8230,0,9,1,440,0,0,0,0
19631,0,9,0,1087,2,1,0,1
1779,1,6,1,1897,1,1,0,0
3606,0,2,1,1751,1,0,0,0
13384,1,2,1,872,4,1,0,1
7353,0,4,1,651,1,0,1,0
19228,1,9,0,943,2,1,0,0
9535,1,3,1,1670,0,0,0,0
11410,1,6,1,34,0,1,0,0
13396,0,2,1,705,0,0,0,0
18625,0,1,1,867,2,0,0,0
13345,0,5,0,985,4,0,0,0
11251,0,8,1,832,2,1,0,0
10557,1,2,0,1501,1,1,0,0
2579,0,9,0,1111,3,1,0,1
4552,1,8,1,1234,3,1,0,0
5981,1,3,1,462,3,1,1,0
14169,0,1,0,81,0,0,0,0
2949,0,4,1,322,2,0,0,1
7490,0,8,1,415,2,0,0,0
12022,1,3,0,1875,0,1,1,0
2589,0,2,0,992,1,0,0,0
9923,1,7,0,190,3,1,0,0
9307,0,4,0,1974,3,0,0,1
9640,1,6,0,1884,0,1,0,0
16464,0,5,0,1257,3,1,0,1
4711,0,2,1,392,4,0,0,0
19323,1,2,1,1962,2,1,0,0
5978,0,9,1,1193,3,1,0,0
16447,0,2,1,1467,3,1,0,0
951,0,8,1,1787,4,1,0,0
18171,0,8,1,168,1,1,0,0
6933,0,1,1,1255,1,0,0,0
12038,0,1,1,1174,4,1,0,0
2527,0,4,1,664,1,0,0,0
4100,1,2,0,1574,0,0,0,0
5152,1,1,0,1410,4,1,1,0
2838,0,9,1,381,2,0,0,0
5487,0,3,1,1833,2,0,0,0
8102,0,1,0,1299,2,0,0,0
5636,1,2,0,1641,3,0,0,0
13579,1,8,0,898,4,1,1,0
4013,0,5,1,1884,4,0,0,0
17550,1,7,0,864,1,1,0,0
10736,0,6,0,62,4,1,0,1
5826,0,1,0,1491,4,0,0,1
3473,0,6,1,528,1,1,1,1
12261,0,7,0,862,4,1,0,1
2182,1,4,1,150,4,1,0,0
16381,1,8,0,1166,0,1,0,1
15405,0,8,0,116,1,1,0,0
9917,1,7,1,824,0,1,0,0
11361,1,2,0,65,3,1,0,0
517,0,6,0,1453,1,0,1,0
8908,1,6,0,310,4,1,0,1
3367,0,7,1,706,4,1,0,0
17309,0,6,1,854,0,1,0,0
5845,0,2,1,1454,0,0,0,0
11438,0,8,0,1024,3,1,1,0
512,1,4,1,1185,3,1,0,1
7643,0,9,0,1999,4,0,0,0
7687,1,8,0,306,2,1,0,0
828,0,3,0,1385,3,0,0,0
11757,0,3,0,1302,4,1,0,1
6088,1,8,0,1320,3,1,0,0
18988,0,2,0,1575,1,0,0,0
3067,1,9,0,873,0,1,0,0
14627,1,4,0,169,4,1,0,0
19270,0,6,1,1483,3,1,0,0
16148,0,3,1,1604,0,1,0,1
17606,0,3,0,1031,2,1,1,1
18055,0,3,1,1621,3,1,0,0
5173,0,2,1,1735,4,0,0,0
5204,0,8,1,1156,1,0,0,0
2243,1,9,0,588,0,1,0,0
7457,1,8,1,762,0,1,0,0
12143,0,3,0,347,1,0,1,0
3540,1,7,1,955,4,1,0,0
5744,1,2,1,1745,2,0,0,0
10618,0,4,1,1620,1,0,0,0
14652,0,6,0,735,2,1,0,0
3014,1,5,0,1277,4,0,0,0
13684,0,9,0,410,3,1,0,0
12244,1,4,0,543,3,1,0,0
14497,0,5,0,355,4,0,0,0
8887,1,4,0,713,2,0,0,0
14291,1,8,0,1989,1,1,0,0
828,1,8,0,1588,4,1,0,0
17849,1,3,0,1392,4,1,0,1
798,0,1,1,584,3,0,0,0
7286,0,6,1,511,1,0,0,0
14612,1,2,0,533,3,1,0,0
14023,1,2,1,528,2,1,0,1
16879,0,3,1,947,2,1,0,1
7500,0,8,0,1552,0,0,1,0
4271,1,3,0,1426,4,0,0,0
4460,1,7,1,1199,1,1,0,0
2602,1,9,0,824,1,1,1,0
17201,1,8,1,1948,3,1,0,0
19266,1,1,0,1874,3,1,0,0
5586,0,7,1,78,1,0,0,0
8435,1,7,0,440,3,1,1,0
4591,0,8,1,1776,0,1,0,1
11230,0,5,1,549,4,1,1,1
7751,0,9,1,1256,0,0,0,0
1267,1,9,1,400,2,1,0,1
1162,0,8,0,1237,1,0,0,1
18640,0,6,1,1217,0,1,0,1
11274,0,6,0,1596,0,1,0,1
4829,0,1,1,701,3,0,0,0
9448,1,6,0,1291,3,1,0,1
5434,1,4,1,126,3,1,0,1
9024,0,4,0,1739,2,0,1,0
4430,0,2,1,834,0,0,0,0
6901,1,4,1,1406,4,1,1,1
4946,1,5,0,544,3,0,0,0
6831,1,5,1,502,2,1,0,1
15468,0,5,1,1427,2,0,0,0
17437,1,4,1,824,3,1,1,0
2639,0,1,1,1285,1,0,0,0
7156,0,8,0,387,0,0,0,1
11616,1,3,1,412,3,1,0,0
11593,0,2,0,1370,4,0,0,0
1642,1,9,0,1118,0,1,1,0
14064,0,7,0,328,2,1,0,0
17675,1,9,0,100,4,1,0,1
6413,0,2,1,1821,0,0,0,1
19165,0,9,1,461,4,1,0,1
18024,1,9,0,1339,2,1,1,1
13907,1,9,1,25,3,1,0,0
9680,1,4,1,1942,4,1,0,1
17849,1,3,0,494,3,1,1,0
8791,0,6,0,353,2,0,0,1
7594,1,3,0,869,2,0,0,1
4412,1,9,1,1141,4,1,0,0
1424,0,3,0,199,4,0,0,0
3241,1,2,0,1303,2,0,1,0
19970,1,8,1,1606,4,1,0,1
1910,0,6,1,847,4,1,1,0
6688,1,8,1,1103,4,1,0,0
19407,1,7,1,1448,4,1,0,0
5401,1,3,1,1378,0,0,0,0
15585,1,8,1,526,2,1,1,1
11814,1,1,1,541,2,1,1,1
4848,1,1,1,1680,1,0,0,0
9535,0,8,0,477,3,0,0,0
3809,1,9,1,1879,1,1,0,0
13216,0,6,0,10,4,1,1,0
9676,0,5,1,1583,4,0,0,0
10250,0,2,1,1527,0,0,0,0
19556,0,9,0,1284,0,1,0,0
6630,1,6,1,524,0,1,0,0
10288,1,8,0,810,0,1,0,0
14783,1,9,1,1762,0,1,0,0
604,0,9,0,772,0,0,0,0
1314,1,8,0,1620,0,1,0,0
1631,1,8,1,1884,0,1,0,0
923,1,3,0,860,0,0,0,0
17412,0,3,0,1030,2,1,1,1
5129,0,2,1,1934,0,0,1,0
13528,1,1,1,1783,3,1,0,1
16617,0,4,0,1059,0,0,0,0
2205,0,2,1,175,4,0,0,1
3727,1,2,0,442,4,0,0,0
13072,0,5,0,1601,0,0,0,0
1952,0,4,0,1171,0,0,0,1
5010,1,1,1,1593,4,1,0,1
11103,0,9,1,1217,3,1,0,0
13943,0,4,0,1037,1,0,0,1
11804,0,5,0,1928,2,0,0,0
15861,0,7,0,1554,4,1,0,0
6290,0,2,1,246,0,0,1,1
17740,0,8,0,675,2,1,1,0
19860,0,2,1,1879,0,0,0,0
5745,0,5,0,114,1,0,1,0
19970,1,2,0,1012,1,1,0,0
9688,1,2,0,794,4,1,0,1
11929,1,4,0,233,2,1,0,0
8153,1,4,1,1702,2,1,1,0
3430,0,8,1,980,1,0,0,0
19187,1,6,1,1346,0,1,0,1
8762,1,8,1,1562,4,1,0,0
7214,0,7,1,126,3,1,0,0
13423,0,4,0,1337,1,0,0,0
1453,0,2,1,511,1,0,0,1
11075,0,9,1,1508,4,1,0,0
11123,0,2,1,281,0,0,0,0
767,1,1,1,798,2,1,0,1
9437,0,8,0,978,1,0,1,0
13759,1,9,0,903,4,1,0,1
3819,1,1,0,1307,4,0,0,0
19229,0,7,1,651,4,1,0,0
7583,1,2,0,1637,2,0,0,1
639,1,6,0,392,1,1,0,1
5064,0,5,1,1547,4,0,0,0
4935,1,1,1,382,2,1,1,0
6142,1,2,1,216,0,1,0,1
14937,1,2,0,542,3,1,0,1
7412,0,6,1,606,1,1,0,1
5420,0,1,0,116,2,0,1,1
13316,0,4,0,509,3,0,0,0
2879,1,5,0,1524,3,1,0,1
17408,0,2,0,271,2,0,1,0
1681,1,2,0,1464,2,1,1,1
19808,0,7,1,1315,2,1,0,0
12777,1,7,0,1063,4,1,1,0
5813,0,6,0,1048,0,0,0,0
16739,0,1,0,776,4,0,0,0
4904,1,3,0,1067,3,0,0,0
18322,0,9,0,1194,3,1,0,1
10236,1,1,1,340,3,1,0,0
109,0,2,0,169,2,0,0,1
19355,0,8,0,1839,1,1,1,1
5224,1,7,0,1562,4,1,1,0
1115,1,9,0,1716,1,1,0,0
2293,1,4,1,1496,0,0,0,0
8515,0,4,0,662,0,0,1,1
13650,1,7,0,1669,4,1,0,0
14612,0,1,0,143,3,0,0,0
4258,1,9,0,1700,0,1,0,1
7070,1,2,1,1125,1,0,0,0
7038,1,1,1,575,1,0,0,0
13872,1,7,1,1629,2,1,0,0
18117,1,6,0,1743,3,1,0,0
10444,1,3,1,475,2,1,0,0
7366,0,1,1,1969,4,0,0,1
8802,1,5,1,311,0,1,0,1
484,0,4,1,1608,2,0,0,0
504,1,5,1,1084,2,1,0,1
8275,1,1,0,1977,4,1,1,1
15258,1,1,1,1053,1,1,1,0
12863,0,5,1,531,1,1,0,1
18484,0,6,1,991,4,1,1,1
9960,1,5,0,73,1,0,0,1
6089,0,2,0,1418,4,0,0,0
15206,1,9,1,869,1,1,0,1
17944,1,5,0,394,4,1,0,0
3736,0,5,0,1782,1,0,1,0
11016,0,9,1,481,2,1,0,0
4909,0,3,0,473,2,0,0,1
13556,0,5,1,313,1,1,0,1
15544,1,5,1,1462,4,1,1,0
6097,0,2,1,952,2,0,1,0
2148,0,4,0,324,0,0,1,0
12438,1,2,1,1013,1,1,0,1
17200,0,5,1,965,0,0,0,0
4644,0,2,0,87,0,0,0,1
5076,0,9,1,359,3,1,0,0
12875,0,6,0,695,0,1,0,0
10115,1,8,0,197,0,1,0,0
3519,1,9,1,756,3,1,0,1
14530,0,8,0,1864,3,1,1,0
7339,0,5,1,977,3,0,0,1
14589,1,5,0,1409,4,1,0,0
16733,0,6,0,1142,3,1,0,1
10457,0,1,0,498,4,1,0,1
17254,0,8,0,908,1,1,0,0
4463,0,2,1,931,4,0,0,0
10276,0,6,1,1908,1,1,0,0
17561,0,9,0,462,3,1,0,1
8527,0,3,1,1520,3,0,0,0
8680,0,2,1,1618,1,0,0,1
4958,0,5,1,970,2,0,0,0
10140,1,9,1,1271,4,1,1,0
19298,1,6,1,1999,0,1,0,0
19858,1,8,1,234,3,1,0,0
15354,0,8,1,417,4,1,0,0
11570,0,7,0,1491,4,1,1,0
1352,1,5,1,1506,3,1,0,0
7096,0,2,0,1389,1,0,0,0
12273,1,5,0,153,3,1,0,0
4773,0,7,0,272,4,0,0,0
15881,1,7,1,392,2,1,0,1
13151,1,2,1,547,1,1,0,0
6981,1,7,0,725,3,1,0,0
7049,0,6,0,1747,0,0,0,0
9621,1,7,1,1454,3,1,0,1
8117,0,8,1,1675,4,1,0,0
7041,0,4,1,189,4,0,0,1
10309,0,1,0,812,0,0,0,0
17815,0,8,0,1931,1,1,0,0
9650,0,8,1,1276,4,1,0,0
4737,0,3,1,395,1,0,0,0
4954,0,3,0,662,1,0,0,0
19661,1,5,1,853,3,1,0,1
10420,1,3,1,1243,1,1,0,0
18664,1,5,0,594,4,1,0,1
4992,0,8,0,190,4,0,0,0
7143,0,1,0,234,2,0,0,0
16621,0,2,0,1712,1,0,0,0
19956,0,2,1,232,2,1,1,0
19316,1,4,0,358,3,1,0,0
4264,0,9,1,478,2,1,1,0
8041,1,2,1,1599,1,0,0,0
14488,0,9,1,1971,4,1,0,0
5669,1,7,0,1453,3,1,0,0
4400,0,8,0,237,1,0,0,0
6369,1,1,1,1057,3,1,0,0
3918,0,5,1,213,0,0,1,0
12115,1,9,0,1596,1,1,0,1
12334,0,4,1,379,0,0,0,0
18390,1,2,1,1026,2,1,1,0
6354,1,6,1,909,1,1,0,0
17244,0,2,1,450,0,0,0,0
7450,1,3,1,569,4,1,0,0
15283,0,8,1,1451,2,1,0,0
6338,0,3,1,813,1,0,0,0
6190,0,2,1,1823,1,0,0,1
11737,1,6,0,1674,4,1,0,0
12747,1,3,0,279,4,1,0,1
10011,0,1,1,214,0,0,0,0
8572,0,3,1,1775,0,0,0,1
18371,1,6,0,1309,0,1,0,0
3366,1,3,0,1567,3,1,1,0
766,1,9,0,718,2,1,0,1
4288,0,7,1,970,1,0,0,0
17155,0,5,0,1298,2,0,0,1
10261,0,2,0,1035,4,1,0,1
11414,0,9,1,871,2,1,0,0
12991,0,5,0,1071,2,0,0,0
